??????;??????? 1;??????? 2;???? ? ?????
????????? ???? - ???? 1;MEX;RSA;2026-06-11 15:00
????????? ???? - ???? 2;KOR;CZE;2026-06-11 22:00
????????? ???? - ???? 3;CAN;BIH;2026-06-12 15:00
????????? ???? - ???? 4;USA;PAR;2026-06-12 21:00
????????? ???? - ???? 5;HAI;SCO;2026-06-13 21:00
????????? ???? - ???? 6;AUS;TUR;2026-06-13 00:00
????????? ???? - ???? 7;BRA;MAR;2026-06-13 18:00
????????? ???? - ???? 8;QAT;SUI;2026-06-13 15:00
????????? ???? - ???? 9;CIV;ECU;2026-06-14 19:00
????????? ???? - ???? 10;GER;CUW;2026-06-14 13:00
????????? ???? - ???? 11;NED;JPN;2026-06-14 16:00
????????? ???? - ???? 12;SWE;TUN;2026-06-14 22:00
????????? ???? - ???? 13;KSA;URU;2026-06-15 18:00
????????? ???? - ???? 14;ESP;CPV;2026-06-15 12:00
????????? ???? - ???? 15;IRN;NZL;2026-06-15 21:00
????????? ???? - ???? 16;BEL;EGY;2026-06-15 15:00
????????? ???? - ???? 17;FRA;SEN;2026-06-16 15:00
????????? ???? - ???? 18;IRQ;NOR;2026-06-16 18:00
????????? ???? - ???? 19;ARG;ALG;2026-06-16 21:00
????????? ???? - ???? 20;AUT;JOR;2026-06-16 00:00
????????? ???? - ???? 21;GHA;PAN;2026-06-17 19:00
????????? ???? - ???? 22;ENG;CRO;2026-06-17 16:00
????????? ???? - ???? 23;POR;COD;2026-06-17 13:00
????????? ???? - ???? 24;UZB;COL;2026-06-17 22:00
????????? ???? - ???? 25;CZE;RSA;2026-06-18 12:00
????????? ???? - ???? 26;SUI;BIH;2026-06-18 15:00
????????? ???? - ???? 27;CAN;QAT;2026-06-18 18:00
????????? ???? - ???? 28;MEX;KOR;2026-06-18 21:00
????????? ???? - ???? 29;BRA;HAI;2026-06-19 20:30
????????? ???? - ???? 30;SCO;MAR;2026-06-19 18:00
????????? ???? - ???? 31;TUR;PAR;2026-06-19 23:00
????????? ???? - ???? 32;USA;AUS;2026-06-19 15:00
????????? ???? - ???? 33;GER;CIV;2026-06-20 16:00
????????? ???? - ???? 34;ECU;CUW;2026-06-20 20:00
????????? ???? - ???? 35;NED;SWE;2026-06-20 13:00
????????? ???? - ???? 36;TUN;JPN;2026-06-20 00:00
????????? ???? - ???? 37;URU;CPV;2026-06-21 18:00
????????? ???? - ???? 38;ESP;KSA;2026-06-21 12:00
????????? ???? - ???? 39;BEL;IRN;2026-06-21 15:00
????????? ???? - ???? 40;NZL;EGY;2026-06-21 21:00
????????? ???? - ???? 41;NOR;SEN;2026-06-22 20:00
????????? ???? - ???? 42;FRA;IRQ;2026-06-22 17:00
????????? ???? - ???? 43;ARG;AUT;2026-06-22 13:00
????????? ???? - ???? 44;JOR;ALG;2026-06-22 23:00
????????? ???? - ???? 45;ENG;GHA;2026-06-23 16:00
????????? ???? - ???? 46;PAN;CRO;2026-06-23 19:00
????????? ???? - ???? 47;POR;UZB;2026-06-23 13:00
????????? ???? - ???? 48;COL;COD;2026-06-23 22:00
????????? ???? - ???? 49;SCO;BRA;2026-06-24 18:00
????????? ???? - ???? 50;MAR;HAI;2026-06-24 18:00
????????? ???? - ???? 51;SUI;CAN;2026-06-24 15:00
????????? ???? - ???? 52;BIH;QAT;2026-06-24 15:00
????????? ???? - ???? 53;CZE;MEX;2026-06-24 21:00
????????? ???? - ???? 54;RSA;KOR;2026-06-24 21:00
????????? ???? - ???? 55;CUW;CIV;2026-06-25 16:00
????????? ???? - ???? 56;ECU;GER;2026-06-25 16:00
????????? ???? - ???? 57;JPN;SWE;2026-06-25 19:00
????????? ???? - ???? 58;TUN;NED;2026-06-25 19:00
????????? ???? - ???? 59;TUR;USA;2026-06-25 22:00
????????? ???? - ???? 60;PAR;AUS;2026-06-25 22:00
????????? ???? - ???? 61;NOR;FRA;2026-06-26 15:00
????????? ???? - ???? 62;SEN;IRQ;2026-06-26 15:00
????????? ???? - ???? 63;EGY;IRN;2026-06-26 23:00
????????? ???? - ???? 64;NZL;BEL;2026-06-26 23:00
????????? ???? - ???? 65;CPV;KSA;2026-06-26 20:00
????????? ???? - ???? 66;URU;ESP;2026-06-26 20:00
????????? ???? - ???? 67;PAN;ENG;2026-06-27 17:00
????????? ???? - ???? 68;CRO;GHA;2026-06-27 17:00
????????? ???? - ???? 69;ALG;AUT;2026-06-27 22:00
????????? ???? - ???? 70;JOR;ARG;2026-06-27 22:00
????????? ???? - ???? 71;COL;POR;2026-06-27 19:30
????????? ???? - ???? 72;COD;UZB;2026-06-27 19:30
1/16 ?????? - ???? 73;2A;2B;2026-06-28 15:00
1/16 ?????? - ???? 74;1E;3 ABCDF;2026-06-29 16:30
1/16 ?????? - ???? 75;1F;2C;2026-06-29 21:00
1/16 ?????? - ???? 76;1C;2F;2026-06-29 13:00
1/16 ?????? - ???? 77;1I;3 CDFGH;2026-06-30 17:00
1/16 ?????? - ???? 78;2E;2I;2026-06-30 13:00
1/16 ?????? - ???? 79;1A;3 CEFHI;2026-06-30 21:00
1/16 ?????? - ???? 80;1L;3 EHIJK;2026-07-01 12:00
1/16 ?????? - ???? 81;1D;3 BEFIJ;2026-07-01 20:00
1/16 ?????? - ???? 82;1G;3 AEHIJ;2026-07-01 16:00
1/16 ?????? - ???? 83;2K;2L;2026-07-02 19:00
1/16 ?????? - ???? 84;1H;2J;2026-07-02 15:00
1/16 ?????? - ???? 85;1B;3 EFGIJ;2026-07-02 23:00
1/16 ?????? - ???? 86;1J;2H;2026-07-03 18:00
1/16 ?????? - ???? 87;1K;3 DEIJL;2026-07-03 21:30
1/16 ?????? - ???? 88;2D;2G;2026-07-03 14:00
1/8 ?????? - ???? 89;W74;W77;2026-07-04 17:00
1/8 ?????? - ???? 90;W73;W75;2026-07-04 13:00
1/8 ?????? - ???? 91;W76;W78;2026-07-05 16:00
1/8 ?????? - ???? 92;W79;W80;2026-07-05 20:00
1/8 ?????? - ???? 93;W83;W84;2026-07-06 15:00
1/8 ?????? - ???? 94;W81;W82;2026-07-06 20:00
1/8 ?????? - ???? 95;W86;W88;2026-07-07 12:00
1/8 ?????? - ???? 96;W85;W87;2026-07-07 16:00
????????????? - ???? 97;W89;W90;2026-07-09 16:00
????????????? - ???? 98;W93;W94;2026-07-10 15:00
????????????? - ???? 99;W91;W92;2026-07-11 17:00
????????????? - ???? 100;W95;W96;2026-07-11 21:00
????????? - ???? 101;W97;W98;2026-07-14 15:00
????????? - ???? 102;W99;W100;2026-07-15 15:00
???? ?? 3 ????? - ???? 103;Loser Match 101;Loser Match 102;2026-07-18 17:00
????? - ???? 104;Winner Match 101;Winner Match 102;2026-07-19 15:00
